Carl: X
X________; O; {(0, 1): O: 3, (0, 2): O: 2, (1, 1): O: 3, (1, 2): O: 6, (2, 2): O: 3}
X_X__O___; O; {(0, 1): O: 3, (1, 0): O: 3, (1, 1): O: 6, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3}
X_X_OO__X; O; {(0, 1): O: 3, (1, 0): O: 6, (2, 0): O: 3, (2, 1): O: 3}
_X_______; O; {(0, 0): O: 1, (1, 0): O: 3, (1, 1): O: 1, (2, 0): O: 5, (2, 1): O: 5}
XX____O__; O; {(0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 2, (2, 2): O: 6}
XX____OXO; O; {(0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 6, (1, 2): O: 3}
XX__OXOXO; O; {(0, 2): O: 6, (1, 0): O: 3}
OX__X____; O; {(0, 2): O: 2, (1, 0): O: 3, (1, 2): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 6}
OX_X_____; O; {(0, 2): O: 3, (1, 1): O: 3, (1, 2): O: 2, (2, 2): O: 3}
OX_XXO___; O; {(0, 2): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 2}
OXXXXO__O; O; {(2, 0): O: 3, (2, 1): O: 2}
XX__X_OO_; O; {(0, 2): O: 3, (1, 0): O: 2, (1, 2): O: 3, (2, 2): O: 3}
_X__O__X_; O; {(0, 0): O: 2, (1, 0): O: 3}
OX__O_XX_; O; {(0, 2): O: 2, (1, 0): O: 3, (1, 2): O: 3, (2, 2): O: 3}
_X_XO____; O; {(0, 0): O: 2, (0, 2): O: 3, (1, 2): O: 3, (2, 2): O: 3}
OX_XO___X; O; {(0, 2): O: 3, (1, 2): O: 2}
OX_XOOX_X; O; {(0, 2): O: 2, (2, 1): O: 3}
XX_____O_; O; {(0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (2, 0): O: 6, (2, 2): O: 3}
XX___XOO_; O; {(0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 3, (2, 2): O: 6}
____X____; O; {(0, 0): O: 6, (0, 1): O: 3}
OX__X_X_O; O; {(0, 2): O: 6, (1, 0): O: 3, (1, 2): O: 3, (2, 1): O: 3}
OXOXX_X_O; O; {(1, 2): O: 6, (2, 1): O: 3}
_X__X__O_; O; {(0, 0): O: 3, (1, 0): O: 3, (2, 0): O: 2}
_X_XX_OO_; O; {(0, 0): O: 2, (0, 2): O: 3, (1, 2): O: 3, (2, 2): O: 3}
O___X_X__; O; {(0, 1): O: 3, (0, 2): O: 2, (1, 0): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3}
OXO_X_X__; O; {(1, 0): O: 3, (1, 2): O: 3, (2, 1): O: 2, (2, 2): O: 3}
OXOXX_XO_; O; {(1, 2): O: 3, (2, 2): O: 2}
____________________X____; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 6, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 6, (2, 0): O: 3, (2, 1): O: 2, (2, 2): O: 3, (3, 0): O: 3, (3, 1): O: 3}
___________O____X___X____; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (2, 0): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 2, (3, 0): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3}
___________OX_O_X___X____; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (2, 0): O: 3, (2, 3): O: 3, (3, 0): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 2}
________X__OX_O_X___X___O; O; {(0, 0): O: 2, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 4): O: 3, (2, 0): O: 3, (2, 3): O: 3, (3, 0): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3}
________________________________________________________________________X________; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 2, (1, 6): O: 3, (1, 7): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 6): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (6, 0): O: 3, (6, 1): O: 3, (6, 2): O: 3, (7, 0): O: 3, (7, 1): O: 3}
______________O_________________________________________________X_______X________; O; {(0, 0): O: 3, (0, 1): O: 3, (0, 2): O: 3, (0, 3): O: 3, (0, 4): O: 3, (0, 5): O: 3, (0, 6): O: 3, (0, 7): O: 3, (0, 8): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 6): O: 3, (1, 7): O: 3, (1, 8): O: 3, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (2, 6): O: 2, (2, 7): O: 3, (2, 8): O: 3, (3, 0): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (3, 6): O: 3, (3, 7): O: 3, (3, 8): O: 3, (4, 0): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (4, 6): O: 3, (4, 7): O: 3, (4, 8): O: 3, (5, 0): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3, (5, 6): O: 3, (5, 7): O: 3, (5, 8): O: 3, (6, 0): O: 3, (6, 1): O: 3, (6, 2): O: 3, (6, 3): O: 3, (6, 4): O: 3, (6, 5): O: 3, (6, 6): O: 3, (6, 7): O: 3, (6, 8): O: 3, (7, 0): O: 3, (7, 2): O: 3, (7, 3): O: 3, (7, 4): O: 3, (7, 5): O: 3, (7, 6): O: 3, (7, 7): O: 3, (7, 8): O: 3, (8, 1): O: 3, (8, 2): O: 3, (8, 3): O: 3, (8, 4): O: 3, (8, 5): O: 3, (8, 6): O: 3, (8, 7): O: 3, (8, 8): O: 3}
