Gabe: O
_________; X; {(0, 1): X: 19, (1, 1): X: 1}
X___O____; X; {(0, 1): X: 3, (0, 2): X: 2, (1, 2): X: 2, (2, 2): X: 3}
X___OX_O_; X; {(0, 1): X: 3, (0, 2): X: 3, (1, 0): X: 2, (2, 0): X: 3, (2, 2): X: 3}
XOX_O____; X; {(1, 0): X: 3, (2, 0): X: 2, (2, 1): X: 3}
____X_O__; X; {(0, 0): X: 2, (0, 1): X: 3, (0, 2): X: 3, (1, 0): X: 2}
X___X_O_O; X; {(0, 1): X: 3, (0, 2): X: 3, (1, 0): X: 2, (1, 2): X: 3, (2, 1): X: 3}
X____O___; X; {(0, 1): X: 3, (0, 2): X: 2, (1, 0): X: 3, (1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3}
X_X_OO___; X; {(0, 1): X: 3, (1, 0): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 2}
_X____O__; X; {(0, 0): X: 5, (0, 2): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 3, (2, 1): X: 3, (2, 2): X: 3}
XX____O_O; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 3, (2, 1): X: 2}
XX__O_OXO; X; {(0, 2): X: 6, (1, 0): X: 3, (1, 2): X: 2}
OX_______; X; {(0, 2): X: 3, (1, 0): X: 6, (1, 1): X: 6, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3}
OXO_X____; X; {(1, 0): X: 3, (2, 0): X: 3, (2, 1): X: 6}
OX_X_O___; X; {(0, 2): X: 3, (1, 1): X: 6, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3}
OX_XXO__O; X; {(0, 2): X: 6, (2, 0): X: 3, (2, 1): X: 3}
OXXXXO_OO; X; {(2, 0): X: 6}
XX____OO_; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 1): X: 6, (1, 2): X: 2, (2, 2): X: 3}
