MENACE 2: O
_X_______; O; {(0, 0): O: 142, (1, 0): O: 12, (1, 1): O: 180, (2, 0): O: 116}
XX__O____; O; {(0, 2): O: 114, (1, 0): O: 17, (1, 2): O: 1, (2, 0): O: 3, (2, 2): O: 11}
XX__OOX__; O; {(0, 2): O: 2, (1, 0): O: 3, (2, 1): O: 2, (2, 2): O: 1}
X________; O; {(0, 1): O: 59, (0, 2): O: 170, (1, 2): O: 1, (2, 2): O: 31}
X_X_____O; O; {(0, 1): O: 2}
X_XOX___O; O; {(0, 1): O: 1, (1, 2): O: 2, (2, 0): O: 2}
X_XOXXO_O; O; {(0, 1): O: 14, (2, 1): O: 30}
_X_X___O_; O; {(0, 0): O: 2, (0, 2): O: 2, (1, 1): O: 3, (1, 2): O: 5, (2, 0): O: 2, (2, 2): O: 3}
_X_X__OOX; O; {(0, 0): O: 2, (0, 2): O: 3, (1, 1): O: 3, (1, 2): O: 3}
OX_X_XOOX; O; {(0, 2): O: 1, (1, 1): O: 2}
X__X_O___; O; {(0, 1): O: 2, (0, 2): O: 2, (1, 1): O: 3, (2, 0): O: 6, (2, 1): O: 2, (2, 2): O: 6}
XX_X_O__O; O; {(0, 2): O: 9, (1, 1): O: 3, (2, 0): O: 3, (2, 1): O: 3}
_X_O____X; O; {(0, 0): O: 6, (0, 2): O: 3, (1, 1): O: 3, (1, 2): O: 4, (2, 0): O: 2, (2, 1): O: 3}
XX_O_O__X; O; {(0, 2): O: 1, (1, 1): O: 3, (2, 0): O: 2, (2, 1): O: 2}
XO_X_O__X; O; {(0, 2): O: 2, (1, 1): O: 2, (2, 0): O: 2, (2, 1): O: 3}
XO_X_OOXX; O; {(0, 2): O: 1, (1, 1): O: 4}
____X____; O; {(0, 0): O: 263}
O___XX___; O; {(0, 1): O: 7, (0, 2): O: 3, (1, 0): O: 213}
_O__X___X; O; {(0, 0): O: 1, (0, 2): O: 2, (1, 0): O: 2, (1, 2): O: 1, (2, 0): O: 3, (2, 1): O: 2}
_OO_X_X_X; O; {(0, 0): O: 18, (1, 2): O: 12, (2, 1): O: 3}
_X_O__X__; O; {(0, 0): O: 1, (0, 2): O: 10, (2, 2): O: 30}
XX_O__X_O; O; {(0, 2): O: 21, (1, 1): O: 2, (1, 2): O: 3}
XX_OO_XXO; O; {(0, 2): O: 4, (1, 2): O: 18}
_X_O_O_XX; O; {(0, 0): O: 3, (0, 2): O: 3, (1, 1): O: 3, (2, 0): O: 6}
_XXO_OOXX; O; {(0, 0): O: 3, (1, 1): O: 18}
XX_X__OO_; O; {(0, 2): O: 5, (1, 1): O: 2, (2, 2): O: 3}
XX_X_OOOX; O; {(0, 2): O: 2}
_X_O___X_; O; {(0, 0): O: 2, (0, 2): O: 2, (1, 1): O: 3, (1, 2): O: 3}
XXOO___X_; O; {(1, 1): O: 9, (1, 2): O: 1, (2, 0): O: 14, (2, 2): O: 2}
XXOO_O_XX; O; {(1, 1): O: 6, (2, 0): O: 1}
X_O____X_; O; {(0, 1): O: 6, (1, 0): O: 2, (1, 1): O: 9, (1, 2): O: 71, (2, 0): O: 1, (2, 2): O: 54}
X_O_O__XX; O; {(0, 1): O: 16, (1, 0): O: 1, (1, 2): O: 2, (2, 0): O: 15}
_X__O__X_; O; {(0, 0): O: 7, (1, 0): O: 16}
XX_OO__X_; O; {(0, 2): O: 16, (1, 2): O: 3, (2, 0): O: 6, (2, 2): O: 6}
XXOOO__XX; O; {(1, 2): O: 12, (2, 0): O: 12}
X_X_X_O_O; O; {(0, 1): O: 7, (1, 0): O: 1, (2, 1): O: 39}
XO___XXO_; O; {(0, 2): O: 3, (1, 0): O: 2, (1, 1): O: 3}
XO_OXXXO_; O; {(0, 2): O: 1}
_X_OXX__O; O; {(0, 0): O: 2, (0, 2): O: 4, (2, 0): O: 3, (2, 1): O: 3}
OXXOXX__O; O; {(2, 0): O: 15, (2, 1): O: 1}
OX_X_____; O; {(1, 1): O: 68, (1, 2): O: 9}
OX_XOX___; O; {(0, 2): O: 6, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 12}
_O__X__X_; O; {(0, 0): O: 3, (1, 0): O: 5, (2, 0): O: 2}
_O_XX_OX_; O; {(0, 0): O: 2, (1, 2): O: 14}
XO_XX_OXO; O; {(1, 2): O: 37}
X___X___O; O; {(0, 2): O: 33, (1, 2): O: 40}
XX__O_XO_; O; {(0, 2): O: 2, (1, 0): O: 3, (1, 2): O: 1, (2, 2): O: 3}
XXO_OXXO_; O; {(1, 0): O: 42}
XOX______; O; {(1, 0): O: 1, (1, 1): O: 38, (2, 0): O: 6, (2, 1): O: 3}
XOXXO____; O; {(1, 2): O: 2, (2, 0): O: 3, (2, 1): O: 27, (2, 2): O: 2}
XXOO_X___; O; {(1, 1): O: 4, (2, 0): O: 3, (2, 1): O: 3, (2, 2): O: 6}
XXOOXX_O_; O; {(2, 2): O: 9}
X_X_O____; O; {(0, 1): O: 3, (1, 0): O: 3, (2, 0): O: 2, (2, 1): O: 3}
X_X_OXO__; O; {(2, 2): O: 1}
_O_OXX_X_; O; {(0, 0): O: 3, (0, 2): O: 6, (2, 2): O: 4}
_OOOXXXX_; O; {(0, 0): O: 6, (2, 2): O: 3}
XX__OXO__; O; {(0, 2): O: 6, (1, 0): O: 3, (2, 1): O: 1, (2, 2): O: 2}
XX______O; O; {(0, 2): O: 2, (1, 0): O: 2, (1, 1): O: 2, (1, 2): O: 7, (2, 0): O: 7, (2, 1): O: 8}
XX__O__XO; O; {(0, 2): O: 17, (1, 0): O: 6, (1, 2): O: 2, (2, 0): O: 5}
XX_XO_OXO; O; {(0, 2): O: 33}
OX____X__; O; {(0, 2): O: 7, (1, 0): O: 4, (1, 1): O: 42, (1, 2): O: 2, (2, 1): O: 11}
OX__O_XX_; O; {(0, 2): O: 11, (1, 0): O: 2, (1, 2): O: 9, (2, 2): O: 6}
_XXO_____; O; {(0, 0): O: 12, (1, 1): O: 2, (1, 2): O: 1, (2, 0): O: 2, (2, 1): O: 2, (2, 2): O: 2}
X__X_OOX_; O; {(0, 1): O: 4, (0, 2): O: 6, (1, 1): O: 3, (2, 2): O: 3}
XXOX_OOX_; O; {(1, 1): O: 3, (2, 2): O: 12}
XXO____XO; O; {(1, 0): O: 2, (1, 1): O: 7, (1, 2): O: 3, (2, 0): O: 12}
XXO__XOXO; O; {(1, 0): O: 1, (1, 1): O: 15}
X____O__X; O; {(0, 1): O: 1, (0, 2): O: 2, (1, 0): O: 2, (1, 1): O: 12, (2, 0): O: 4, (2, 1): O: 3}
XO___OX_X; O; {(0, 2): O: 1, (1, 0): O: 3, (1, 1): O: 3}
X___XO_XO; O; {(0, 1): O: 3, (0, 2): O: 12, (1, 0): O: 5, (2, 0): O: 3}
XO_OX__X_; O; {(0, 2): O: 3, (1, 2): O: 1, (2, 0): O: 2, (2, 2): O: 4}
XO_OXOXX_; O; {(0, 2): O: 2, (2, 2): O: 3}
OO__XX_X_; O; {(0, 2): O: 27, (1, 0): O: 11, (2, 0): O: 1}
OX___OX_X; O; {(0, 2): O: 3, (1, 0): O: 5, (1, 1): O: 2, (2, 1): O: 3}
OXO_XOX_X; O; {(2, 1): O: 44}
X___OOX_X; O; {(0, 1): O: 3, (0, 2): O: 3, (1, 0): O: 6, (2, 1): O: 3}
XXO_O__X_; O; {(1, 0): O: 3, (1, 2): O: 15, (2, 0): O: 3, (2, 2): O: 8}
XXO_OOXX_; O; {(1, 0): O: 3, (2, 2): O: 21}
X_O_X____; O; {(1, 0): O: 2, (2, 1): O: 1, (2, 2): O: 139}
OX_OX_X__; O; {(0, 2): O: 2, (1, 2): O: 1, (2, 1): O: 2, (2, 2): O: 2}
X_X__O___; O; {(0, 1): O: 5, (2, 0): O: 1}
_XXXO_O__; O; {(0, 0): O: 21, (1, 2): O: 1, (2, 1): O: 3, (2, 2): O: 1}
OXXXO_OX_; O; {(1, 2): O: 8, (2, 2): O: 39}
X___OX___; O; {(0, 1): O: 9, (0, 2): O: 7, (1, 0): O: 3, (2, 0): O: 3, (2, 1): O: 2, (2, 2): O: 2}
X__XOX_O_; O; {(0, 1): O: 3, (0, 2): O: 2, (2, 0): O: 9, (2, 2): O: 3}
XOXO_O_XX; O; {(1, 1): O: 3, (2, 0): O: 1}
XOXX__O__; O; {(1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 23, (2, 2): O: 36}
XOXX__OXO; O; {(1, 1): O: 25, (1, 2): O: 10}
XOO___XX_; O; {(1, 0): O: 1, (1, 2): O: 2, (2, 2): O: 2}
XOO_OXXX_; O; {(2, 2): O: 1}
XOX_O_X__; O; {(1, 0): O: 6, (1, 2): O: 9, (2, 1): O: 3, (2, 2): O: 3}
XOX_OOX_X; O; {(1, 0): O: 12}
OX______X; O; {(0, 2): O: 8, (1, 0): O: 2, (1, 1): O: 13, (1, 2): O: 2, (2, 0): O: 20, (2, 1): O: 6}
OX_X__O_X; O; {(0, 2): O: 2, (1, 1): O: 22, (1, 2): O: 6, (2, 1): O: 3}
X_XX_O_O_; O; {(0, 1): O: 3, (1, 1): O: 3, (2, 0): O: 2, (2, 2): O: 3}
X_XX_OOOX; O; {(1, 1): O: 2}
XOX_X_O__; O; {(2, 1): O: 12, (2, 2): O: 71}
XOX_XXOO_; O; {(2, 2): O: 24}
