MENACE: X
_________; X; {(0, 0): X: 2058, (0, 1): X: 478, (1, 1): X: 608}
X___O____; X; {(0, 1): X: 5, (0, 2): X: 5, (1, 2): X: 6, (2, 2): X: 3}
XOX_O____; X; {(1, 0): X: 2, (2, 1): X: 17}
____X__O_; X; {(0, 0): X: 20, (0, 1): X: 15, (1, 0): X: 34, (2, 0): X: 16}
X___X__OO; X; {(0, 1): X: 6, (0, 2): X: 2, (1, 0): X: 9, (1, 2): X: 3, (2, 0): X: 25}
X___XOXOO; X; {(0, 2): X: 6, (1, 0): X: 6}
O__OXX___; X; {(0, 1): X: 4, (0, 2): X: 3, (2, 0): X: 124, (2, 1): X: 2}
OO_OXX_X_; X; {(0, 2): X: 3, (2, 2): X: 2}
X_____O__; X; {(0, 1): X: 53, (0, 2): X: 828, (1, 0): X: 18, (1, 1): X: 177, (1, 2): X: 50, (2, 1): X: 15, (2, 2): X: 258}
X____XOO_; X; {(0, 2): X: 4, (1, 0): X: 3, (1, 1): X: 10}
X__OXXOO_; X; {(0, 1): X: 2, (0, 2): X: 1, (2, 2): X: 27}
_X__O____; X; {(0, 0): X: 216, (1, 0): X: 13, (2, 0): X: 4}
XX__OO___; X; {(0, 2): X: 9, (1, 0): X: 11, (2, 0): X: 15, (2, 1): X: 2, (2, 2): X: 3}
XXO_OOX__; X; {(1, 0): X: 48, (2, 2): X: 1}
X_______O; X; {(0, 1): X: 35, (0, 2): X: 220, (1, 1): X: 25, (1, 2): X: 32}
X_XO____O; X; {(0, 1): X: 3, (1, 1): X: 22, (1, 2): X: 4, (2, 0): X: 12, (2, 1): X: 6}
X_XOX_O_O; X; {(0, 1): X: 21, (1, 2): X: 5, (2, 1): X: 5}
XOXOXXO_O; X; {(2, 1): X: 44}
_X_____O_; X; {(0, 0): X: 6, (1, 0): X: 9, (1, 1): X: 3, (2, 0): X: 3}
_X_X__OO_; X; {(0, 0): X: 3, (0, 2): X: 3, (1, 1): X: 7, (1, 2): X: 3, (2, 2): X: 6}
OX_X__OOX; X; {(0, 2): X: 4, (1, 1): X: 3, (1, 2): X: 12}
OX_XOXOOX; X; {(0, 2): X: 15}
X____O___; X; {(0, 1): X: 9, (0, 2): X: 18, (1, 0): X: 7, (1, 1): X: 18, (2, 0): X: 10, (2, 1): X: 5, (2, 2): X: 8}
X__X_O__O; X; {(0, 1): X: 2, (0, 2): X: 6, (1, 1): X: 2, (2, 0): X: 3, (2, 1): X: 2}
_X_O_____; X; {(0, 0): X: 1, (0, 2): X: 12, (1, 1): X: 3, (1, 2): X: 8, (2, 0): X: 17, (2, 1): X: 9, (2, 2): X: 8}
_X_O_O__X; X; {(0, 0): X: 9, (0, 2): X: 3, (1, 1): X: 9, (2, 0): X: 6, (2, 1): X: 2}
XXOO_O__X; X; {(1, 1): X: 9, (2, 0): X: 3, (2, 1): X: 3}
XO_X_O___; X; {(0, 2): X: 3, (1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 12}
XO_X_OO_X; X; {(0, 2): X: 3, (1, 1): X: 3, (2, 1): X: 10}
XOOX_OOXX; X; {(1, 1): X: 15}
O___X____; X; {(0, 1): X: 108, (0, 2): X: 80, (1, 2): X: 307, (2, 2): X: 49}
O___XXO__; X; {(0, 1): X: 1, (0, 2): X: 1, (1, 0): X: 57}
_OO_X___X; X; {(0, 0): X: 15, (1, 0): X: 3, (1, 2): X: 3, (2, 0): X: 5, (2, 1): X: 8}
_X_O__X_O; X; {(0, 0): X: 1, (0, 2): X: 31, (1, 1): X: 27, (1, 2): X: 6, (2, 1): X: 20}
XX_OO_X_O; X; {(0, 2): X: 36, (1, 2): X: 3, (2, 1): X: 1}
_X_O_OOXX; X; {(0, 0): X: 8, (0, 2): X: 2, (1, 1): X: 6}
XX____OO_; X; {(0, 2): X: 3, (1, 0): X: 9, (1, 1): X: 3, (1, 2): X: 3, (2, 2): X: 3}
XX_X_OOO_; X; {(0, 2): X: 3, (1, 1): X: 6, (2, 2): X: 18}
XXOX_OOOX; X; {(1, 1): X: 21}
X__OXO___; X; {(0, 1): X: 12, (0, 2): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 6}
_XOO___X_; X; {(0, 0): X: 6, (1, 1): X: 6, (1, 2): X: 3, (2, 0): X: 3, (2, 2): X: 6}
XXOO_OOXX; X; {(1, 1): X: 15}
X_O_O__X_; X; {(0, 1): X: 1, (1, 0): X: 27, (1, 2): X: 2, (2, 0): X: 12, (2, 2): X: 11}
XOO_O__XX; X; {(1, 0): X: 3, (1, 2): X: 3, (2, 0): X: 9}
_X_OO__X_; X; {(0, 0): X: 2, (0, 2): X: 2, (1, 2): X: 2}
XXOOO__X_; X; {(1, 2): X: 5, (2, 0): X: 2, (2, 2): X: 1}
X_X___O_O; X; {(0, 1): X: 78, (1, 0): X: 3, (1, 1): X: 2, (2, 1): X: 3}
XO_______; X; {(0, 2): X: 43, (1, 0): X: 58, (1, 1): X: 51, (1, 2): X: 92, (2, 0): X: 40, (2, 1): X: 41, (2, 2): X: 12}
