Overnight Menace 1: X
_________; X; {(0, 0): X: 850831, (0, 1): X: 302355, (1, 1): X: 128110}
_X_____O_; X; {(0, 0): X: 29361, (1, 0): X: 7239, (1, 1): X: 4205, (2, 0): X: 26389}
OX__X__O_; X; {(1, 0): X: 30837, (1, 2): X: 24644, (2, 0): X: 65363, (2, 2): X: 8736}
OX__X_OOX; X; {(1, 0): X: 18027}
OX_XXOOOX; X; {(0, 2): X: 127519}
X____O___; X; {(0, 1): X: 3, (0, 2): X: 4, (1, 0): X: 3, (1, 1): X: 6, (2, 0): X: 12, (2, 1): X: 3, (2, 2): X: 3}
X__O_OX__; X; {(0, 1): X: 3, (0, 2): X: 6, (1, 1): X: 3}
X_XO_OX_O; X; {(0, 1): X: 96, (1, 1): X: 396, (2, 1): X: 2}
O___X____; X; {(0, 1): X: 91017, (0, 2): X: 5825, (1, 2): X: 14644, (2, 2): X: 16463}
O___XX_O_; X; {(0, 1): X: 12, (0, 2): X: 47, (1, 0): X: 3, (2, 0): X: 34, (2, 2): X: 9}
O_X_XXOO_; X; {(0, 1): X: 2, (1, 0): X: 87, (2, 2): X: 3}
_X_O_____; X; {(0, 0): X: 4450, (0, 2): X: 78, (1, 1): X: 333, (1, 2): X: 2, (2, 0): X: 761, (2, 1): X: 9, (2, 2): X: 156}
_XOO___X_; X; {(0, 0): X: 6, (1, 1): X: 3, (1, 2): X: 7, (2, 0): X: 12, (2, 2): X: 9}
XXOO_O_X_; X; {(1, 1): X: 24, (2, 0): X: 3, (2, 2): X: 3}
X_______O; X; {(0, 2): X: 1561, (1, 1): X: 34, (1, 2): X: 95}
X_XO____O; X; {(0, 1): X: 3, (1, 1): X: 3, (1, 2): X: 17, (2, 0): X: 233, (2, 1): X: 23}
X_XOOX__O; X; {(0, 1): X: 42, (2, 0): X: 4, (2, 1): X: 3}
XOXOOXX_O; X; {(2, 1): X: 372831}
_X____O__; X; {(0, 0): X: 5694, (0, 2): X: 24, (1, 1): X: 1333, (1, 2): X: 132, (2, 1): X: 1, (2, 2): X: 604}
XXO___O__; X; {(1, 1): X: 1302, (1, 2): X: 6, (2, 1): X: 21}
XXOX_OO__; X; {(1, 1): X: 2, (2, 1): X: 1, (2, 2): X: 3}
_XO__XO__; X; {(0, 0): X: 3, (1, 0): X: 13, (1, 1): X: 345}
XXO__XO_O; X; {(1, 0): X: 3, (1, 1): X: 3, (2, 1): X: 3}
XXOO_XOXO; X; {(1, 1): X: 105}
X_O______; X; {(0, 1): X: 44, (1, 0): X: 222, (1, 1): X: 174, (1, 2): X: 543, (2, 0): X: 1432, (2, 1): X: 8, (2, 2): X: 1439}
XOO_____X; X; {(1, 0): X: 85, (1, 1): X: 90, (1, 2): X: 4, (2, 0): X: 68, (2, 1): X: 142}
XOO___OXX; X; {(1, 0): X: 1, (1, 1): X: 171, (1, 2): X: 1}
X_OO____X; X; {(0, 1): X: 2, (1, 1): X: 291, (1, 2): X: 31, (2, 0): X: 90, (2, 1): X: 14}
XXOO_O__X; X; {(1, 1): X: 42, (2, 0): X: 1, (2, 1): X: 1}
X_O__O_X_; X; {(0, 1): X: 3, (1, 0): X: 1, (1, 1): X: 21, (2, 0): X: 2, (2, 2): X: 192}
