Overnight Menace 2: O
_X_______; O; {(0, 0): O: 141953, (1, 0): O: 111, (1, 1): O: 79508, (2, 0): O: 118, (2, 1): O: 65960}
_X__X__O_; O; {(0, 0): O: 1510, (2, 0): O: 2667}
OX__X__OX; O; {(0, 2): O: 1960, (1, 0): O: 6864, (1, 2): O: 2241, (2, 0): O: 55}
OX_XX_OOX; O; {(1, 2): O: 18027}
X________; O; {(0, 2): O: 12, (1, 1): O: 844608, (2, 2): O: 5}
X____OX__; O; {(0, 1): O: 3, (0, 2): O: 3, (1, 0): O: 2, (1, 1): O: 1}
X_XO_OX__; O; {(0, 1): O: 3, (1, 1): O: 3, (2, 1): O: 3, (2, 2): O: 2}
____X____; O; {(0, 0): O: 127003, (0, 1): O: 8}
O___XX___; O; {(0, 2): O: 3, (1, 0): O: 15588}
O_X_XX_O_; O; {(0, 1): O: 2, (1, 0): O: 2, (2, 0): O: 2, (2, 2): O: 3}
OXX_XXOO_; O; {(1, 0): O: 27, (2, 2): O: 66}
_X_O___X_; O; {(0, 0): O: 3, (0, 2): O: 4, (1, 1): O: 211}
XXOO___X_; O; {(1, 1): O: 41, (2, 0): O: 4, (2, 2): O: 2}
X_X_____O; O; {(1, 2): O: 1, (2, 0): O: 2}
X_XO_X__O; O; {(0, 1): O: 22625, (2, 0): O: 1}
X_XOOXX_O; O; {(0, 1): O: 361643}
XX____O__; O; {(0, 2): O: 2, (1, 0): O: 2, (1, 1): O: 2, (1, 2): O: 1, (2, 1): O: 2, (2, 2): O: 1}
XXOX__O__; O; {(1, 1): O: 6, (1, 2): O: 9, (2, 2): O: 6}
XXOX_OOX_; O; {(1, 1): O: 3, (2, 2): O: 81}
_X___XO__; O; {(0, 0): O: 248, (1, 0): O: 46, (1, 1): O: 11}
XXO__XO__; O; {(1, 0): O: 4, (1, 1): O: 60, (2, 1): O: 3, (2, 2): O: 5}
XXO__XOXO; O; {(1, 1): O: 105}
X_O_____X; O; {(0, 1): O: 2, (1, 0): O: 3, (1, 1): O: 2, (2, 0): O: 1}
XOO____XX; O; {(1, 0): O: 1, (1, 1): O: 1, (1, 2): O: 1, (2, 0): O: 2}
XXOO____X; O; {(1, 1): O: 44, (2, 0): O: 1, (2, 1): O: 9}
XXOO_OX_X; O; {(1, 1): O: 60, (2, 1): O: 1}
X_O____X_; O; {(0, 1): O: 1, (1, 2): O: 9, (2, 2): O: 190}
X_O__OXX_; O; {(0, 1): O: 3, (1, 0): O: 1, (1, 1): O: 2, (2, 2): O: 24}
_X____XO_; O; {(0, 0): O: 15045, (0, 2): O: 10670, (1, 0): O: 195, (1, 2): O: 1}
