5x5 Menace 2: O
______X__________________; O; {(1, 1): O: 2, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 3): O: 3, (2, 4): O: 4, (2, 5): O: 4, (3, 3): O: 3, (3, 4): O: 4, (3, 5): O: 2, (4, 4): O: 3, (4, 5): O: 3, (5, 5): O: 3}
______X_______O______X___; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 2, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
_____OX_____X_O______X___; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 2, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
_____OX_____X_O__O___X_X_; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 2, (3, 2): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3, (5, 5): O: 3}
_____OX___O_X_O__O__XX_X_; O; {(1, 1): O: 2, (1, 2): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 3): O: 3, (5, 5): O: 3}
O____OX___O_X_OX_O__XX_X_; O; {(1, 2): O: 3, (1, 3): O: 2, (1, 4): O: 3, (1, 5): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 3): O: 3, (5, 5): O: 3}
O_O__OX_X_O_X_OX_O__XX_X_; O; {(1, 2): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 3): O: 2, (2, 5): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 3): O: 3, (5, 5): O: 3}
O_O__OXOX_O_XXOX_O__XX_X_; O; {(1, 2): O: 3, (1, 4): O: 2, (1, 5): O: 3, (2, 5): O: 3, (3, 2): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 3): O: 3, (5, 5): O: 3}
O_OO_OXOX_O_XXOX_O_XXX_X_; O; {(1, 2): O: 3, (1, 5): O: 3, (2, 5): O: 3, (3, 2): O: 3, (4, 2): O: 3, (4, 4): O: 2, (5, 3): O: 3, (5, 5): O: 3}
O_OO_OXOX_O_XXOXXOOXXX_X_; O; {(1, 2): O: 3, (1, 5): O: 2, (2, 5): O: 3, (3, 2): O: 3, (5, 3): O: 3, (5, 5): O: 3}
O_OOOOXOX_OXXXOXXOOXXX_X_; O; {(1, 2): O: 3, (2, 5): O: 3, (5, 3): O: 2, (5, 5): O: 3}
O_OOOOXOXXOXXXOXXOOXXXOX_; O; {(1, 2): O: 3, (5, 5): O: 2}
X________________________; O; {(1, 2): O: 4, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 2): O: 3, (2, 3): O: 2, (2, 4): O: 3, (2, 5): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 7, (4, 4): O: 3, (4, 5): O: 4, (5, 5): O: 3}
XX_____O_________________; O; {(1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 2, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
XX_____O___O_____X_______; O; {(1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 2, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
XX__X__O__OO_____X_______; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 2}
XX__X__O__OO_____X___X__O; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 3): O: 2, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3, (5, 4): O: 3}
XX__X__O__OOO____X___X_XO; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 1): O: 3, (2, 2): O: 2, (2, 4): O: 3, (2, 5): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3}
XX__X_OO__OOOX___X___X_XO; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 1): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 2): O: 2, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3}
XX__X_OO__OOOX__OXX__X_XO; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 1): O: 3, (2, 4): O: 3, (2, 5): O: 2, (3, 5): O: 3, (4, 1): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 3): O: 3}
XX__XXOO_OOOOX__OXX__X_XO; O; {(1, 3): O: 3, (1, 4): O: 3, (2, 4): O: 3, (3, 5): O: 3, (4, 1): O: 3, (4, 5): O: 2, (5, 1): O: 3, (5, 3): O: 3}
