5x5 Menace 4: O
__X______________________; O; {(1, 1): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 4, (2, 3): O: 3, (3, 1): O: 2, (3, 2): O: 3, (3, 3): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (5, 1): O: 3, (5, 2): O: 2, (5, 3): O: 3}
__X_______O____X_________; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 2, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
__X___O_X_O____X_________; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 2, (2, 3): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
__X__OO_X_O__X_X_________; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 3): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 5): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 2, (5, 4): O: 3, (5, 5): O: 3}
X_X__OO_X_O__X_X______O__; O; {(1, 2): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 3): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 5): O: 2, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X_XX_OO_X_O__XOX______O__; O; {(1, 2): O: 3, (1, 5): O: 3, (2, 3): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 3): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 2, (5, 1): O: 3, (5, 2): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X_XXXOO_X_O__XOX___O__O__; O; {(1, 2): O: 3, (2, 3): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 3): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (5, 1): O: 2, (5, 2): O: 3, (5, 4): O: 3, (5, 5): O: 3}
X_XXXOO_X_O__XOXX__OO_O__; O; {(1, 2): O: 3, (2, 3): O: 3, (2, 5): O: 3, (3, 2): O: 3, (3, 3): O: 3, (4, 3): O: 3, (4, 4): O: 3, (5, 2): O: 2, (5, 4): O: 3, (5, 5): O: 3}
_X_______________________; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 3, (3, 4): O: 3, (3, 5): O: 4, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 4, (5, 3): O: 3, (5, 4): O: 3, (5, 5): O: 3}
_X____________O________X_; O; {(1, 1): O: 3, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 4): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 3): O: 4, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 5): O: 3}
_X______X___O_O________X_; O; {(1, 1): O: 4, (1, 3): O: 3, (1, 4): O: 3, (1, 5): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (2, 5): O: 3, (3, 1): O: 3, (3, 2): O: 3, (3, 4): O: 3, (4, 1): O: 3, (4, 2): O: 3, (4, 3): O: 3, (4, 4): O: 3, (4, 5): O: 3, (5, 1): O: 3, (5, 2): O: 3, (5, 3): O: 3, (5, 5): O: 3}
