First GUI MENACE: X
______X__; O; {(0, 0): O: 2, (0, 1): O: 3, (0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 3}
O___X_X__; O; {(0, 1): O: 2, (0, 2): O: 3, (1, 0): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3}
_________; X; {(0, 0): X: 113, (0, 1): X: 722, (1, 1): X: 384}
OX_______; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 9, (2, 2): X: 6}
OX____O_X; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 1): X: 2, (1, 2): X: 6, (2, 1): X: 3}
OX___XOOX; X; {(0, 2): X: 3, (1, 0): X: 9, (1, 1): X: 3}
OX_XOXOOX; X; {(0, 2): X: 33}
OX____OX_; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 1): X: 6, (1, 2): X: 3}
XO_______; X; {(0, 2): X: 6, (1, 0): X: 6, (1, 1): X: 3, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3}
XO_X___O_; X; {(0, 2): X: 6, (1, 1): X: 6, (1, 2): X: 3, (2, 0): X: 3, (2, 2): X: 6}
XOXX_O_O_; X; {(1, 1): X: 6, (2, 0): X: 6, (2, 2): X: 6}
XOXX_OOOX; X; {(1, 1): X: 15}
O___X____; X; {(0, 1): X: 10, (0, 2): X: 175, (1, 2): X: 194, (2, 2): X: 1}
O_X_X__O_; X; {(0, 1): X: 7, (1, 0): X: 6, (1, 2): X: 6, (2, 0): X: 9, (2, 2): X: 3}
O_X_XXOO_; X; {(0, 1): X: 3, (1, 0): X: 6, (2, 2): X: 12}
X___O____; X; {(0, 1): X: 4, (0, 2): X: 10, (1, 2): X: 3, (2, 2): X: 5}
XO__O___X; X; {(0, 2): X: 3, (1, 0): X: 3, (1, 2): X: 5, (2, 0): X: 2, (2, 1): X: 3}
XOO_OX__X; X; {(1, 0): X: 2, (2, 0): X: 2, (2, 1): X: 2}
OO__XX___; X; {(0, 2): X: 9, (1, 0): X: 30, (2, 0): X: 1, (2, 1): X: 2, (2, 2): X: 8}
X_O______; X; {(0, 1): X: 8, (1, 0): X: 11, (1, 1): X: 3, (1, 2): X: 24, (2, 0): X: 16, (2, 1): X: 11, (2, 2): X: 5}
X_O___X_O; X; {(0, 1): X: 3, (1, 0): X: 3, (1, 1): X: 6, (1, 2): X: 3}
XOO_X_X_O; X; {(1, 0): X: 6, (1, 2): X: 3, (2, 1): X: 3}
O__OX___X; X; {(0, 1): X: 3, (0, 2): X: 3, (1, 2): X: 3, (2, 0): X: 3, (2, 1): X: 1}
_X_O_____; X; {(0, 0): X: 14, (0, 2): X: 63, (1, 1): X: 60, (1, 2): X: 47, (2, 0): X: 3, (2, 1): X: 41, (2, 2): X: 1}
_XXO__O__; X; {(0, 0): X: 9, (1, 1): X: 1, (1, 2): X: 16, (2, 1): X: 4, (2, 2): X: 6}
_XXOO_OX_; X; {(0, 0): X: 12, (1, 2): X: 1, (2, 2): X: 3}
_XXO___O_; X; {(0, 0): X: 12, (1, 1): X: 5, (1, 2): X: 3, (2, 0): X: 6, (2, 2): X: 3}
_XXOX_OO_; X; {(0, 0): X: 9, (1, 2): X: 3, (2, 2): X: 1}
OX___O_X_; X; {(0, 2): X: 3, (1, 0): X: 2, (1, 1): X: 12, (2, 0): X: 3, (2, 2): X: 14}
OXO__O_XX; X; {(1, 0): X: 3, (1, 1): X: 3, (2, 0): X: 6}
OX__X___O; X; {(0, 2): X: 2, (1, 0): X: 15, (1, 2): X: 5, (2, 0): X: 2, (2, 1): X: 9}
OX_OXX__O; X; {(0, 2): X: 2, (2, 0): X: 6, (2, 1): X: 3}
OXXO_____; X; {(1, 1): X: 6, (1, 2): X: 2, (2, 0): X: 6, (2, 1): X: 3, (2, 2): X: 3}
OXXOOX___; X; {(2, 0): X: 2, (2, 1): X: 1, (2, 2): X: 27}
_X____O__; X; {(0, 0): X: 3, (0, 2): X: 6, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 3, (2, 1): X: 3, (2, 2): X: 9}
_XX_O_O__; X; {(0, 0): X: 12, (1, 0): X: 3, (1, 2): X: 6, (2, 1): X: 4, (2, 2): X: 6}
OXX_O_O_X; X; {(1, 0): X: 6, (1, 2): X: 12, (2, 1): X: 3}
_X__O____; X; {(0, 0): X: 286, (1, 0): X: 53, (2, 0): X: 69, (2, 1): X: 1}
OX__O__X_; X; {(1, 0): X: 2, (1, 2): X: 1, (2, 0): X: 6, (2, 2): X: 4}
OXXOO__X_; X; {(1, 2): X: 2, (2, 0): X: 2}
_O__X____; X; {(0, 0): X: 7, (1, 0): X: 3, (2, 0): X: 6, (2, 1): X: 9}
XO__X_O__; X; {(0, 2): X: 3, (1, 0): X: 10, (1, 2): X: 7, (2, 1): X: 4, (2, 2): X: 9}
XO__X_OXO; X; {(0, 2): X: 9, (1, 0): X: 16, (1, 2): X: 21}
XO_OXXOXO; X; {(0, 2): X: 66}
_X__O_X_O; X; {(0, 0): X: 3, (0, 2): X: 3, (1, 0): X: 9, (1, 2): X: 6, (2, 1): X: 4}
_X_XOOX_O; X; {(0, 0): X: 9, (0, 2): X: 3, (2, 1): X: 3}
OOX_X____; X; {(1, 0): X: 9, (1, 2): X: 6, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 2}
OOX_XXO__; X; {(1, 0): X: 15, (2, 1): X: 3, (2, 2): X: 3}
_XOOO_XX_; X; {(0, 0): X: 2, (1, 2): X: 14, (2, 2): X: 3}
_XOOOXXXO; X; {(0, 0): X: 16}
_XXOX__OO; X; {(0, 0): X: 12, (1, 2): X: 3, (2, 0): X: 6}
_XOO_X___; X; {(0, 0): X: 8, (1, 1): X: 3, (2, 0): X: 3, (2, 1): X: 3, (2, 2): X: 3}
XXOO_XO__; X; {(1, 1): X: 3, (2, 1): X: 3, (2, 2): X: 6}
XXOO_XOOX; X; {(1, 1): X: 12}
_X_____O_; X; {(0, 0): X: 12, (1, 0): X: 8, (1, 1): X: 23, (2, 0): X: 65}
XX_____OO; X; {(0, 2): X: 6, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 2, (2, 0): X: 12}
_X_O_O_X_; X; {(0, 0): X: 2, (1, 1): X: 15}
_X_O_X_O_; X; {(0, 0): X: 6, (0, 2): X: 3, (1, 1): X: 4, (2, 0): X: 8}
OX_O_XXO_; X; {(0, 2): X: 3, (1, 1): X: 3, (2, 2): X: 5}
OXOO_XXOX; X; {(1, 1): X: 7}
_X_OO__X_; X; {(0, 0): X: 6, (0, 2): X: 3, (1, 2): X: 6}
OX_OOX_X_; X; {(0, 2): X: 2, (2, 0): X: 8, (2, 2): X: 3}
OO__X__X_; X; {(0, 2): X: 70, (1, 0): X: 1, (1, 2): X: 1, (2, 0): X: 5, (2, 2): X: 16}
OOXOX__X_; X; {(1, 2): X: 2, (2, 0): X: 18, (2, 2): X: 2}
_X_O_XO__; X; {(0, 0): X: 9, (0, 2): X: 15, (1, 1): X: 3, (2, 1): X: 1, (2, 2): X: 8}
XX_OX__OO; X; {(0, 2): X: 24, (1, 2): X: 1, (2, 0): X: 7}
OXXO__X_O; X; {(1, 1): X: 6, (1, 2): X: 3, (2, 1): X: 3}
OX_XO____; X; {(0, 2): X: 2, (1, 2): X: 1, (2, 2): X: 11}
OXXXO__O_; X; {(1, 2): X: 3, (2, 0): X: 4, (2, 2): X: 6}
OXXXOXOO_; X; {(2, 2): X: 15}
_X____OOX; X; {(0, 0): X: 15, (0, 2): X: 6, (1, 0): X: 3, (1, 1): X: 3, (1, 2): X: 6}
XX___OOOX; X; {(0, 2): X: 12, (1, 0): X: 3, (1, 1): X: 6}
_X_O_X__O; X; {(0, 0): X: 6, (0, 2): X: 9, (1, 1): X: 5, (2, 0): X: 3, (2, 1): X: 3}
_XXO_X_OO; X; {(0, 0): X: 3, (1, 1): X: 3, (2, 0): X: 6}
OXXO_XXOO; X; {(1, 1): X: 6}
_X_OX__O_; X; {(0, 0): X: 5, (0, 2): X: 5, (1, 2): X: 3, (2, 0): X: 12, (2, 2): X: 6}
_XOOXX_O_; X; {(0, 0): X: 4, (2, 0): X: 3}
XXOOXX_OO; X; {(2, 0): X: 15}
XX_OOX_O_; X; {(0, 2): X: 12, (2, 0): X: 10, (2, 2): X: 4}
XX_OOXXOO; X; {(0, 2): X: 27}
X_O__XO__; X; {(0, 1): X: 2, (1, 0): X: 11, (1, 1): X: 3, (2, 1): X: 6, (2, 2): X: 3}
_X_O_XOOX; X; {(0, 0): X: 3, (0, 2): X: 12, (1, 1): X: 2}
OXOO_X_X_; X; {(1, 1): X: 3, (2, 0): X: 3, (2, 2): X: 2}
XO_XX_O_O; X; {(0, 2): X: 2, (1, 2): X: 6, (2, 1): X: 3}
