Menace 2: O
_X_______; O; {(1, 1): O: 3, (1, 3): O: 8, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 7, (3, 1): O: 3, (3, 2): O: 3}
_XO_____X; O; {(1, 1): O: 3, (2, 1): O: 3, (2, 2): O: 6, (2, 3): O: 3, (3, 1): O: 3, (3, 2): O: 2}
_XO_X__OX; O; {(1, 1): O: 13, (2, 1): O: 18, (2, 3): O: 1}
_XOXXO_OX; O; {(1, 1): O: 9}
_X_O___X_; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 2): O: 6, (2, 3): O: 3, (3, 3): O: 3}
_X__OOXX_; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 1): O: 9, (3, 3): O: 6}
____X____; O; {(1, 1): O: 127}
O___X___X; O; {(1, 2): O: 25, (1, 3): O: 36, (2, 1): O: 1, (2, 3): O: 1}
O___XOX_X; O; {(1, 2): O: 5, (1, 3): O: 2, (2, 1): O: 2, (3, 2): O: 3}
X___X__O_; O; {(1, 2): O: 3, (1, 3): O: 2, (2, 1): O: 2, (2, 3): O: 3, (3, 1): O: 5, (3, 3): O: 4}
_O_XX_O_X; O; {(1, 1): O: 3, (1, 3): O: 12, (2, 3): O: 2, (3, 2): O: 1}
X_OOXXXO_; O; {(3, 3): O: 23}
_O__X__X_; O; {(1, 1): O: 3, (1, 3): O: 5, (2, 1): O: 3, (2, 3): O: 3, (3, 1): O: 3, (3, 3): O: 4}
_X__XXOO_; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 1): O: 12, (3, 3): O: 3}
XOOXXO_X_; O; {(3, 1): O: 3, (3, 3): O: 12}
O___X_X__; O; {(1, 2): O: 3, (1, 3): O: 15, (2, 3): O: 8, (3, 2): O: 1}
O___XXXO_; O; {(1, 2): O: 3, (1, 3): O: 1, (2, 1): O: 3, (3, 3): O: 3}
________X; O; {(1, 1): O: 18, (1, 2): O: 15, (2, 2): O: 47, (2, 3): O: 1, (3, 1): O: 1, (3, 2): O: 23}
___X___OX; O; {(1, 1): O: 2, (1, 2): O: 3, (1, 3): O: 3, (2, 2): O: 6, (2, 3): O: 2, (3, 1): O: 4}
OX_X___OX; O; {(1, 3): O: 4, (2, 2): O: 5, (2, 3): O: 3, (3, 1): O: 3}
OXOXX__OX; O; {(2, 3): O: 22}
____X__OX; O; {(1, 1): O: 3, (1, 2): O: 2, (1, 3): O: 3, (2, 1): O: 1, (2, 3): O: 1, (3, 1): O: 3}
___OXX_OX; O; {(1, 1): O: 2, (1, 2): O: 2, (1, 3): O: 3, (3, 1): O: 3}
_O_OXXXOX; O; {(1, 1): O: 2, (1, 3): O: 2}
______OXX; O; {(1, 1): O: 3, (1, 2): O: 3, (1, 3): O: 6, (2, 1): O: 2, (2, 2): O: 3, (2, 3): O: 3}
__O__XOXX; O; {(1, 1): O: 6, (1, 2): O: 3, (2, 2): O: 3}
OXO__XOXX; O; {(2, 1): O: 6, (2, 2): O: 3}
____X_XO_; O; {(1, 1): O: 3, (1, 2): O: 2, (1, 3): O: 2, (2, 1): O: 2, (2, 3): O: 2}
OOX_X___X; O; {(2, 3): O: 2}
X__OXXXOO; O; {(1, 2): O: 1, (1, 3): O: 6}
____XX__O; O; {(2, 1): O: 56, (3, 1): O: 1, (3, 2): O: 5}
X___O_OXX; O; {(1, 2): O: 3, (1, 3): O: 9, (2, 1): O: 3, (2, 3): O: 6}
XXOOO__XX; O; {(2, 3): O: 3, (3, 1): O: 6}
__X_X__O_; O; {(1, 1): O: 3, (1, 2): O: 2, (2, 1): O: 3, (2, 3): O: 3, (3, 1): O: 3, (3, 3): O: 3}
_O_XX____; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 3): O: 3, (3, 1): O: 4, (3, 2): O: 3, (3, 3): O: 3}
