Menace A: X
_________; X; {(1, 1): X: 281, (1, 2): X: 167, (2, 2): X: 116}
X____O___; X; {(1, 2): X: 3, (1, 3): X: 3, (2, 1): X: 5, (2, 2): X: 9, (3, 1): X: 9, (3, 2): X: 6, (3, 3): X: 3}
X__O_O_X_; X; {(1, 2): X: 3, (1, 3): X: 2, (2, 2): X: 18, (3, 1): X: 3, (3, 3): X: 3}
X__OXOOX_; X; {(1, 2): X: 3, (1, 3): X: 3, (3, 3): X: 12}
X__X_OO__; X; {(1, 2): X: 3, (1, 3): X: 9, (2, 2): X: 3, (3, 2): X: 3, (3, 3): X: 3}
X_XX_OOO_; X; {(1, 2): X: 3, (2, 2): X: 6, (3, 3): X: 3}
XOXXXOOO_; X; {(3, 3): X: 15}
_X_____O_; X; {(1, 1): X: 3, (2, 1): X: 1, (2, 2): X: 4, (3, 1): X: 50}
_X__O_XO_; X; {(1, 1): X: 6, (1, 3): X: 3, (2, 1): X: 15, (2, 3): X: 9, (3, 3): X: 5}
_X_OOXXO_; X; {(1, 1): X: 9, (1, 3): X: 3}
XX_OOXXOO; X; {(1, 3): X: 24}
_X____O__; X; {(1, 1): X: 3, (1, 3): X: 3, (2, 1): X: 6, (2, 2): X: 6, (2, 3): X: 3, (3, 2): X: 3, (3, 3): X: 3}
_X_X__O_O; X; {(1, 1): X: 3, (1, 3): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 2): X: 6}
_X_X_OOXO; X; {(1, 1): X: 3, (1, 3): X: 6, (2, 2): X: 3}
_XXXOOOXO; X; {(1, 1): X: 15}
_O__X____; X; {(1, 1): X: 25, (2, 1): X: 32, (3, 1): X: 25, (3, 2): X: 3}
_O_XX__O_; X; {(1, 1): X: 2, (1, 3): X: 3, (2, 3): X: 15}
_X__XOO__; X; {(1, 1): X: 12, (1, 3): X: 3, (2, 1): X: 3, (3, 2): X: 6, (3, 3): X: 3}
XO_______; X; {(1, 3): X: 4, (2, 1): X: 9, (2, 2): X: 19, (2, 3): X: 9, (3, 1): X: 2, (3, 2): X: 13, (3, 3): X: 17}
XO____OX_; X; {(1, 3): X: 3, (2, 1): X: 3, (2, 2): X: 4, (2, 3): X: 3, (3, 3): X: 5}
XO_O__OXX; X; {(1, 3): X: 9, (2, 2): X: 3, (2, 3): X: 3}
XOXO_OOXX; X; {(2, 2): X: 21}
_O_OX_X__; X; {(1, 1): X: 9, (1, 3): X: 12, (2, 3): X: 2, (3, 2): X: 6, (3, 3): X: 3}
OO_OXXX__; X; {(1, 3): X: 6, (3, 2): X: 2, (3, 3): X: 3}
X___O____; X; {(1, 2): X: 83, (1, 3): X: 53, (2, 3): X: 50, (3, 3): X: 17}
XO__O___X; X; {(1, 3): X: 3, (2, 1): X: 4, (2, 3): X: 2, (3, 1): X: 1, (3, 2): X: 18}
OX_______; X; {(1, 3): X: 1, (2, 1): X: 3, (2, 2): X: 6, (2, 3): X: 4, (3, 1): X: 3, (3, 2): X: 15, (3, 3): X: 6}
OX____OX_; X; {(1, 3): X: 3, (2, 1): X: 6, (2, 2): X: 3, (2, 3): X: 3}
OXOX__OX_; X; {(2, 2): X: 3, (2, 3): X: 6, (3, 3): X: 6}
OXOX_XOXO; X; {(2, 2): X: 6}
XX_OO____; X; {(1, 3): X: 30, (2, 3): X: 13, (3, 1): X: 3, (3, 2): X: 4, (3, 3): X: 2}
XX_OO_XO_; X; {(1, 3): X: 6, (2, 3): X: 5, (3, 3): X: 3}
XXO_O____; X; {(2, 1): X: 10, (2, 3): X: 3, (3, 1): X: 2, (3, 2): X: 3, (3, 3): X: 2}
XXO_OX__O; X; {(2, 1): X: 3, (3, 1): X: 4, (3, 2): X: 2}
O___X____; X; {(1, 2): X: 30, (1, 3): X: 3, (2, 3): X: 9, (3, 3): X: 10}
OO__XX___; X; {(1, 3): X: 5, (2, 1): X: 6, (3, 1): X: 6, (3, 2): X: 9, (3, 3): X: 3}
OO__XX_XO; X; {(1, 3): X: 3, (2, 1): X: 9, (3, 1): X: 3}
_X_O_____; X; {(1, 1): X: 23, (1, 3): X: 26, (2, 2): X: 11, (2, 3): X: 9, (3, 1): X: 18, (3, 2): X: 2, (3, 3): X: 18}
XX_O__O__; X; {(1, 3): X: 3, (2, 2): X: 5, (2, 3): X: 2, (3, 2): X: 3, (3, 3): X: 3}
XX_OOXO__; X; {(1, 3): X: 3, (3, 2): X: 5, (3, 3): X: 2}
O_O_XX___; X; {(1, 2): X: 6, (2, 1): X: 3, (3, 1): X: 3, (3, 2): X: 3, (3, 3): X: 6}
O_O_XXO_X; X; {(1, 2): X: 3, (2, 1): X: 6, (3, 2): X: 3}
X___OXO__; X; {(1, 2): X: 2, (1, 3): X: 19, (3, 2): X: 3, (3, 3): X: 1}
X_X_OXOO_; X; {(1, 2): X: 15, (2, 1): X: 2, (3, 3): X: 9}
X_O______; X; {(1, 2): X: 6, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 9, (3, 2): X: 3, (3, 3): X: 3}
XXOO__XO_; X; {(2, 2): X: 9, (2, 3): X: 3, (3, 3): X: 3}
X_______O; X; {(1, 2): X: 3, (1, 3): X: 12, (2, 2): X: 3, (2, 3): X: 3}
XOX_____O; X; {(2, 1): X: 7, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 3, (3, 2): X: 6}
XOXX_O__O; X; {(2, 2): X: 3, (3, 1): X: 6, (3, 2): X: 3}
X_O___XO_; X; {(1, 2): X: 3, (2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 3): X: 6}
X_OO__XOX; X; {(1, 2): X: 6, (2, 2): X: 3}
_X_OO___X; X; {(1, 1): X: 3, (1, 3): X: 5, (2, 3): X: 1, (3, 1): X: 7, (3, 2): X: 4}
OX_OO__XX; X; {(1, 3): X: 3, (2, 3): X: 2, (3, 1): X: 12}
XOO_____X; X; {(2, 1): X: 3, (2, 2): X: 3, (2, 3): X: 3, (3, 1): X: 6, (3, 2): X: 2}
XOO_O__XX; X; {(2, 1): X: 2, (2, 3): X: 2, (3, 1): X: 6}
X___OX__O; X; {(1, 2): X: 3, (1, 3): X: 3, (2, 1): X: 6, (3, 1): X: 4, (3, 2): X: 3}
