Menace B: O
____X____; O; {(1, 1): O: 51}
_X_______; O; {(1, 1): O: 6, (2, 1): O: 116, (3, 2): O: 54}
X________; O; {(1, 2): O: 6, (2, 2): O: 314}
O_X_X____; O; {(1, 2): O: 2, (2, 1): O: 2, (2, 3): O: 2, (3, 1): O: 6, (3, 2): O: 6, (3, 3): O: 3}
OX____X__; O; {(1, 3): O: 3, (2, 1): O: 3, (2, 2): O: 3, (2, 3): O: 3, (3, 2): O: 4, (3, 3): O: 3}
OX______X; O; {(1, 3): O: 2, (2, 1): O: 2, (2, 2): O: 3, (2, 3): O: 4, (3, 1): O: 3, (3, 2): O: 2}
XOX______; O; {(2, 1): O: 4, (2, 2): O: 3, (3, 1): O: 4, (3, 2): O: 3}
_X_XO____; O; {(1, 1): O: 3, (1, 3): O: 3, (2, 3): O: 3, (3, 3): O: 2}
XO____X__; O; {(1, 3): O: 3, (2, 1): O: 6, (2, 2): O: 3, (2, 3): O: 3, (3, 2): O: 3, (3, 3): O: 3}
X____OX__; O; {(1, 2): O: 2, (1, 3): O: 3, (2, 1): O: 2, (2, 2): O: 3}
OX__X____; O; {(2, 1): O: 7, (3, 1): O: 4, (3, 2): O: 17, (3, 3): O: 1}
O___X___X; O; {(1, 2): O: 21, (2, 3): O: 7}
X_X_O____; O; {(1, 2): O: 71, (3, 2): O: 4}
_X__O__X_; O; {(1, 1): O: 3, (2, 1): O: 2}
XO___X___; O; {(1, 3): O: 6, (2, 1): O: 4, (2, 2): O: 2, (3, 1): O: 6, (3, 3): O: 16}
_X_O_X___; O; {(1, 1): O: 2, (1, 3): O: 6, (2, 2): O: 17, (3, 1): O: 16, (3, 2): O: 3, (3, 3): O: 4}
_X_O___X_; O; {(1, 1): O: 6, (1, 3): O: 3, (2, 2): O: 3, (2, 3): O: 3}
_XXO_____; O; {(1, 1): O: 37, (2, 2): O: 1, (2, 3): O: 1, (3, 1): O: 3, (3, 3): O: 2}
_O__X__X_; O; {(1, 1): O: 18, (2, 1): O: 4, (3, 1): O: 7}
XO__X____; O; {(1, 3): O: 1, (2, 1): O: 1, (2, 3): O: 1, (3, 1): O: 3, (3, 3): O: 8}
