Second GUI MENACE: O
______X__; O; {(0, 0): O: 8, (0, 2): O: 6, (1, 1): O: 12}
___OX_X__; O; {(0, 0): O: 2, (0, 1): O: 3, (0, 2): O: 3, (1, 2): O: 3, (2, 1): O: 3, (2, 2): O: 3}
__O_X_X__; O; {(0, 0): O: 5, (0, 1): O: 8, (1, 0): O: 2}
XOO_X_X__; O; {(1, 0): O: 3, (1, 2): O: 5, (2, 1): O: 2, (2, 2): O: 3}
_X_______; O; {(1, 0): O: 43, (1, 1): O: 548, (2, 1): O: 19}
OX______X; O; {(0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 6, (2, 0): O: 2, (2, 1): O: 5}
OX___XO_X; O; {(0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 3, (2, 1): O: 2}
OX_X_XOOX; O; {(0, 2): O: 2, (1, 1): O: 1}
OX_____X_; O; {(0, 2): O: 3, (1, 0): O: 3, (1, 1): O: 3, (1, 2): O: 2, (2, 0): O: 2, (2, 2): O: 3}
XO_X_____; O; {(0, 2): O: 2, (1, 1): O: 5, (1, 2): O: 3, (2, 0): O: 5, (2, 1): O: 2, (2, 2): O: 3}
XOXX___O_; O; {(1, 1): O: 3, (1, 2): O: 2, (2, 0): O: 3, (2, 2): O: 3}
XOXX_O_OX; O; {(1, 1): O: 3}
____X____; O; {(0, 0): O: 175}
O_X_X____; O; {(0, 1): O: 2, (1, 0): O: 1, (1, 2): O: 1, (2, 0): O: 67}
O_X_XX_O_; O; {(0, 1): O: 3, (1, 0): O: 2, (2, 0): O: 2, (2, 2): O: 2}
X___O___X; O; {(0, 1): O: 7, (0, 2): O: 4}
XO__OX__X; O; {(0, 2): O: 6, (1, 0): O: 2, (2, 0): O: 5, (2, 1): O: 9}
XOO_OX_XX; O; {(1, 0): O: 2, (2, 0): O: 21}
O___XX___; O; {(0, 2): O: 4, (1, 0): O: 121, (2, 0): O: 4, (2, 1): O: 1, (2, 2): O: 3}
OO__XXX__; O; {(0, 2): O: 12, (1, 0): O: 6, (2, 1): O: 3, (2, 2): O: 3}
X_O___X__; O; {(1, 0): O: 2, (1, 1): O: 1, (1, 2): O: 1, (2, 1): O: 4, (2, 2): O: 2}
X_O_X_X_O; O; {(0, 1): O: 2, (1, 0): O: 3, (1, 2): O: 12}
O__OX__XX; O; {(0, 1): O: 6, (0, 2): O: 2, (1, 2): O: 2, (2, 0): O: 15}
_XXO_____; O; {(0, 0): O: 4, (1, 1): O: 2, (1, 2): O: 1, (2, 0): O: 12, (2, 1): O: 1, (2, 2): O: 1}
_XXO__OX_; O; {(0, 0): O: 3, (1, 1): O: 8, (1, 2): O: 3, (2, 2): O: 3}
_XXOX__O_; O; {(0, 0): O: 6, (1, 2): O: 3, (2, 0): O: 6, (2, 2): O: 1}
_XXOX_OOX; O; {(0, 0): O: 15, (1, 2): O: 3}
OX___O_XX; O; {(0, 2): O: 2, (1, 0): O: 2, (1, 1): O: 8, (2, 0): O: 2}
